Id,Edad,Ingrediente_1,Ingrediente_2,Ingrediente_3,Sodio en mg,Gramos de aspartamo,Azucar Gramos,Gramos entre Azucar y otros endulcorantes,Densidad,pH,Litros de Cafeina,Grado de Colorante,Indice Satisfaccion
196,19.0,6.8,0.23,0.42,7.4,0.044,56.0,189.0,0.9958,0.48,0.48,9.3,1
197,23.0,10.2,0.54,0.37,15.4,0.214,55.0,95.0,1.00369,0.77,0.77,9.0,1
198,18.0,10.2,0.33,0.46,1.9,0.081,6.0,9.0,0.99628,0.48,0.48,10.4,1
199,16.0,6.1,0.28,0.35,12.8,0.048,63.0,229.0,0.9975,0.4,0.4,8.9,0
200,30.0,6.6,0.17,0.35,2.6,0.03,33.0,78.0,0.99146,0.72,0.72,11.3,1
201,23.0,6.2,0.26,0.2,8.0,0.047,35.0,111.0,0.99445,0.42,0.42,10.4,1
202,18.0,7.1,0.25,0.28,1.2,0.04,31.0,111.0,0.99174,0.53,0.53,11.1,0
203,10.0,5.0,0.29,0.54,5.7,0.035,54.0,155.0,0.98976,0.34,0.34,12.9,1
204,24.0,6.4,0.34,0.1,1.1,0.048,19.0,84.0,0.9927,0.38,0.38,9.8,0
205,13.0,5.2,0.2,0.27,3.2,0.047,16.0,93.0,0.99235,0.53,0.53,10.1,1
206,19.0,7.6,0.48,0.28,10.4,0.049,57.0,205.0,0.99748,0.45,0.45,9.3,0
207,17.0,6.2,0.32,0.24,4.1,0.051,34.0,149.0,0.99306,0.52,0.52,11.0,0
208,11.0,5.6,0.54,0.04,1.7,0.049,5.0,13.0,0.9942,0.58,0.58,11.4,0
209,25.0,7.0,0.13,0.37,12.85,0.042,36.0,105.0,0.99581,0.55,0.55,10.7,1
210,12.0,7.5,0.51,0.02,1.7,0.084,13.0,31.0,0.99538,0.54,0.54,10.5,1
211,18.0,9.1,0.4,0.57,4.6,0.08,6.0,20.0,0.99652,0.57,0.57,12.5,1
212,24.0,10.4,0.38,0.46,2.1,0.104,6.0,10.0,0.99664,0.65,0.65,11.8,1
213,11.0,7.2,0.26,0.32,10.4,0.062,23.0,114.0,0.9966,0.49,0.49,10.5,0
214,14.0,6.6,0.23,0.32,0.9,0.041,25.0,79.0,0.9926,0.54,0.54,10.2,1
215,22.0,13.2,0.46,0.52,2.2,0.071,12.0,35.0,1.0006,0.56,0.56,9.0,1
216,28.0,6.8,0.34,0.36,8.9,0.029,44.0,128.0,0.99318,0.35,0.35,11.95,1
217,18.0,6.1,0.25,0.28,10.0,0.055,56.0,131.0,0.994,0.35,0.35,10.9,1
218,26.0,8.3,0.845,0.01,2.2,0.07,5.0,14.0,0.9967,0.58,0.58,11.0,0
219,23.0,7.6,0.4,0.27,5.2,0.03,32.0,101.0,0.99172,0.62,0.62,12.3,1
220,30.0,6.8,0.2,0.36,1.6,0.028,7.0,46.0,0.99175,0.6,0.6,10.9,1
221,16.0,5.9,0.24,0.3,2.0,0.033,28.0,92.0,0.99225,0.69,0.69,10.9,1
222,28.0,7.0,0.3,0.27,1.5,0.076,24.0,145.0,0.99344,0.52,0.52,10.1,0
223,27.0,6.7,0.16,0.28,2.5,0.046,40.0,153.0,0.9921,0.51,0.51,11.4,1
224,25.0,7.3,0.26,0.31,1.6,0.04,39.0,173.0,0.9918,0.51,0.51,11.4,1
225,16.0,11.6,0.41,0.54,1.5,0.095,22.0,41.0,0.99735,0.76,0.76,9.9,1
226,29.0,7.5,0.28,0.39,10.2,0.045,59.0,209.0,0.9972,0.63,0.63,9.6,1
227,22.0,7.15,0.17,0.24,9.6,0.119,56.0,178.0,0.99578,0.44,0.44,10.2,1
228,28.0,6.0,0.32,0.3,1.9,0.033,41.0,142.0,0.98912,0.42,0.42,12.8,1
229,17.0,7.9,0.19,0.26,2.1,0.039,8.0,143.0,0.9942,0.74,0.74,9.8,0
230,19.0,6.6,0.855,0.02,2.4,0.062,15.0,23.0,0.99627,0.6,0.6,11.0,1
231,17.0,6.2,0.2,0.26,9.7,0.03,39.0,102.0,0.9908,0.56,0.56,12.9,1
232,30.0,6.0,0.31,0.38,4.8,0.04,41.0,101.0,0.98968,0.56,0.56,13.1,1
233,27.0,7.2,0.25,0.39,18.95,0.038,42.0,155.0,0.9999,0.47,0.47,9.0,1
234,27.0,10.4,0.44,0.42,1.5,0.145,34.0,48.0,0.99832,0.86,0.86,9.9,0
235,14.0,6.1,0.27,0.32,6.2,0.048,47.0,161.0,0.99281,0.6,0.6,11.0,1
236,18.0,7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,0.72,0.72,10.5,0
237,26.0,6.4,0.22,0.38,9.1,0.044,35.0,127.0,0.99326,0.3,0.3,11.0,1
238,14.0,6.2,0.22,0.28,2.2,0.04,24.0,125.0,0.9917,0.48,0.48,10.5,1
239,16.0,6.3,0.98,0.01,2.0,0.057,15.0,33.0,0.99488,0.46,0.46,11.2,1
240,20.0,7.3,0.24,0.41,13.6,0.05,41.0,178.0,0.9988,0.43,0.43,9.7,0
241,18.0,7.5,0.29,0.67,8.1,0.037,53.0,166.0,0.9966,0.41,0.41,8.9,1
242,15.0,4.8,0.29,0.23,1.1,0.044,38.0,180.0,0.98924,0.34,0.34,11.9,1
243,19.0,9.6,0.42,0.35,2.1,0.083,17.0,38.0,0.99622,0.66,0.66,11.1,1
244,27.0,5.7,0.28,0.3,3.9,0.026,36.0,105.0,0.98963,0.58,0.58,12.75,1
245,23.0,7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,0.73,0.73,9.2,0
246,11.0,8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,0.53,0.53,9.2,0
247,18.0,8.8,0.36,0.44,1.9,0.04,9.0,121.0,0.9953,0.48,0.48,9.9,1
248,17.0,8.9,0.13,0.49,1.0,0.028,6.0,24.0,0.9926,0.32,0.32,9.9,0
249,13.0,6.7,0.38,0.26,9.55,0.036,35.0,91.0,0.9919,0.37,0.37,12.4,1
250,21.0,7.0,0.35,0.17,1.1,0.049,7.0,119.0,0.99297,0.36,0.36,9.7,1
251,21.0,6.4,0.26,0.3,2.2,0.025,33.0,134.0,0.992,0.47,0.47,10.6,1
252,14.0,13.7,0.415,0.68,2.9,0.085,17.0,43.0,1.0014,0.8,0.8,10.0,1
253,29.0,6.5,0.25,0.5,7.6,0.047,54.0,184.0,0.99572,0.45,0.45,9.2,0
254,10.0,7.0,0.27,0.48,6.1,0.042,60.0,184.0,0.99566,0.5,0.5,9.4,1
255,11.0,7.3,0.365,0.49,2.5,0.088,39.0,106.0,0.9966,0.78,0.78,11.0,0
256,29.0,6.1,0.255,0.44,12.3,0.045,53.0,197.0,0.9967,0.54,0.54,9.5,1
257,19.0,11.6,0.23,0.57,1.8,0.074,3.0,8.0,0.9981,0.7,0.7,9.9,1
258,11.0,6.0,0.18,0.27,1.5,0.089,40.0,143.0,0.9923,0.62,0.62,10.8,1
